Player,Goal,Pass,Games,Timer,Goal_pass,Pengoal,Goalx2,Goalx3,Owngoal,Ycard,Yred,Rcard,Point
,,,,,,,,,,,,,
 Сердар Азмун#7 нападающий ,16,2,22,1596,18,2,3,1,0,4,0,0,4
 Артём Дзюба#22 нападающий ,13,5,24,1995,18,3,1,1,0,0,0,0,0
 Александр Соболев#7 нападающий ,12,2,18,1179,14,4,4,0,0,8,0,0,8
 Джордан Ларссон#11 нападающий ,12,5,25,2158,17,1,3,0,0,5,0,0,5
 Джордже Деспотович#9 нападающий ,11,3,22,1629,14,2,2,0,0,6,0,0,6
 Никола Влашич#8 полузащитник ,11,6,24,2123,17,3,1,0,0,3,0,0,3
 Маркус Берг#33 нападающий ,9,1,18,1422,10,1,1,0,0,4,0,0,4
 Эсекьель Понсе#19 нападающий ,9,1,22,1511,10,0,1,0,0,3,0,0,3
 Кристиан Нобоа#16 полузащитник ,9,5,21,1812,14,4,0,0,0,5,0,0,5
 Реми Кабелла#7 полузащитник ,8,2,22,1475,10,1,1,0,0,3,0,0,3
Бернард Бериша#7 полузащитник ,8,2,24,1788,10,3,3,0,0,8,0,0,8
 Даниил Лесовой#19 полузащитник ,7,4,24,1910,11,1,1,0,0,2,1,0,5
 Антон Заболотный#9 нападающий ,7,3,23,1599,10,0,2,0,0,6,0,0,6
 Эрик Бикфалви#10 полузащитник ,7,1,19,1710,8,4,2,0,0,3,0,0,3
 Гжегож Крыховяк#7 полузащитник ,7,3,23,2000,10,1,0,0,0,7,1,0,10
 Резиуан Мирзов#77 полузащитник ,6,2,15,1121,8,2,0,0,0,3,0,0,3
 Александр Ерохин#21 полузащитник ,6,2,22,698,8,0,0,0,0,2,0,0,2
 Фёдор Смолов#9 нападающий ,6,2,17,1094,8,0,0,0,0,1,0,0,1
 Константин Кучаев#20 полузащитник ,6,3,19,1331,9,0,0,0,0,1,0,0,1
 Никита Бурмистров#18 полузащитник ,6,1,20,1420,7,0,1,0,0,3,0,1,6
 Артур Юсупов#6 полузащитник ,6,2,19,1577,8,0,0,0,0,4,0,0,4
 Денис Макаров#25 полузащитник ,6,1,25,1671,7,0,1,0,0,6,1,0,9
 Владимир Ильин#29 нападающий ,6,3,24,1695,9,1,0,0,0,5,0,0,5
 Даниил Фомин#74 полузащитник ,6,3,25,2038,9,3,0,0,0,5,0,0,5
 Дмитрий Полоз#99 нападающий ,5,3,25,1581,8,3,0,1,0,3,0,0,3
,,,,,,,,,,,,,
